page_id,title,gender,date_of_birth
8246,NBS Television (Uganda),Unknown,
8248,Baba TV,Unknown,
8249,Sanyuka TV Uganda,Male,
8250,Milton Obote,Male,
8251,Edith Nakiyingi,Unknown,ogwekumin'ogumu 15 1968
8252,Jackie Chandiru,Female,
8253,Blu*3,Female,
8254,Nick Nola,Unknown,
8255,Spice Diana,Unknown,
8256,Undercover Brothers Ug,Unknown,
8257,Samson Kisekka,Unknown,
8258,Alimansi Kadogo,Unknown,
8259,Saidi Kyeyune,Unknown,
8261,Geofrey Kusuro,Unknown,Ogwokubirir 12 1989
8262,Felix Chemonges,Unknown,Ogwekkumi 10 1995
8263,Jean Baptiste Okello,Unknown,Ogwokuna 10 1940
8264,Kakyeka Stadium,Unknown,
8265,John Akii-Bua,Unknown,
8266,Boniface Abel Sikowo,Unknown,Ogwomusanvu 27 1999
8267,Simon Ayeko,Unknown,
8268,Okuyimba mu Uganda,Male,
8269,Fred Rwigyema,Unknown,
8270,Vampino,Unknown,mu 1980
8272,Jackie Akello,Unknown,
8273,New Vision (olupapula lw'amawulire),Female,
8274,Rachael Kungu,Female,1978
8275,Ruth Kyalisima,Female,
8276,Assani Bajope,Unknown,
8278,Ekibiina kya Conservative Party (Uganda),Unknown,
8279,Fille Mutoni,Female,Ogwomusanvu 25 1991
