revision_id,category
4509,Stub
4509,Ensi
4737,Stub
4737,Ensi
4743,Stub
4743,Ensi
4770,Stub
4770,Ensi
4885,Stub
4885,Ensi
4908,Stub
4908,Ensi
4916,Stub
4916,Ensi
5092,Stub
5092,Ensi
5102,Stub
5102,Ensi
5114,Stub
5114,Ensi
5197,Stub
5197,Ensi
5247,Stub
5247,Ensi
5252,Stub
5252,Ensi
5296,Stub
5296,Ensi
5296,Bulaaya
5311,Ensi
5311,Isilandi
5440,Ensi
5440,Isilandi
5503,Ensi
5503,Isilandi
5541,Ensi
5541,Isilandi
5611,Ensi
5611,Isilandi
5739,Ensi
5739,Isilandi
5894,Ensi
5894,Isilandi
5921,Ensi
5921,Isilandi
5951,Ensi
5951,Isilandi
6018,Ensi
6018,Isilandi
6054,Ensi
6054,Isilandi
6093,Ensi
6093,Isilandi
6146,Ensi
6146,Isilandi
6150,Ensi
6150,Isilandi
6306,Ensi
6306,Isilandi
6450,Ensi
6450,Isilandi
6453,Ensi
6453,Isilandi
6462,Ensi
6462,Isilandi
6465,Ensi
6465,Isilandi
6479,Ensi
6479,Isilandi
6504,Ensi
6504,Isilandi
6516,Ensi
6516,Isilandi
6549,Ensi
6549,Isilandi
6558,Ensi
6558,Isilandi
6567,Ensi
6567,Isilandi
6568,Ensi
6568,Isilandi
6682,Ensi
6682,Isilandi
6739,Ensi
6739,Isilandi
6745,Ensi
6745,Isilandi
6750,Ensi
6750,Isilandi
6831,Ensi
6831,Isilandi
6865,Ensi
6865,Isilandi
6888,Ensi
6888,Isilandi
6905,Ensi
6905,Isilandi
7048,Ensi
7048,Isilandi
7050,Ensi
7050,Isilandi
7131,Ensi
7131,Isilandi
7146,Ensi
7146,Isilandi
7254,Ensi
7254,Isilandi
7296,Ensi
7296,Isilandi
7301,Ensi
7301,Isilandi
7303,Ensi
7303,Isilandi
7532,Ensi
7532,Isilandi
7581,Ensi
7581,Isilandi
7607,Ensi
7607,Isilandi
7616,Ensi
7616,Isilandi
7703,Ensi
7703,Isilandi
7878,Ensi
7878,Isilandi
7900,Ensi
7900,Isilandi
7912,Ensi
7912,Isilandi
7994,Ensi
7994,Isilandi
8003,Ensi
8003,Isilandi
8040,Ensi
8040,Isilandi
8106,Ensi
8106,Isilandi
8190,Ensi
8190,Isilandi
8337,Ensi
8337,Isilandi
8501,Ensi
8501,Isilandi
8511,Ensi
8511,Isilandi
8587,Ensi
8587,Isilandi
8708,Ensi
8708,Isilandi
8900,Ensi
8900,Isilandi
9088,Ensi
9088,Isilandi
9220,Ensi
9220,Isilandi
9235,Ensi
9235,Isilandi
9994,Ensi
9994,Isilandi
10140,Ensi
10140,Isilandi
10203,Ensi
10203,Isilandi
10282,Ensi
10282,Isilandi
10389,Ensi
10389,Isilandi
10734,Ensi
10734,Isilandi
10767,Ensi
10767,Isilandi
11011,Ensi
11011,Isilandi
11273,Ensi
11273,Isilandi
11488,Ensi
11488,Isilandi
11546,Ensi
11546,Isilandi
11787,Ensi
11787,Isilandi
11851,Ensi
11851,Isilandi
11916,Ensi
11916,Isilandi
12067,Ensi
12067,Isilandi
12180,Ensi
12180,Isilandi
12227,Ensi
12227,Isilandi
12816,Ensi
12816,Isilandi
12849,Ensi
12849,Isilandi
12912,Ensi
12912,Isilandi
13125,Ensi
13125,Isilandi
13248,Ensi
13248,Isilandi
13257,Ensi
13257,Isilandi
13261,Ensi
13261,Isilandi
13262,Ensi
13262,Isilandi
13265,Ensi
13265,Isilandi
13333,Ensi
13333,Isilandi
13423,Ensi
13423,Isilandi
13426,Ensi
13426,Isilandi
13444,Ensi
13444,Isilandi
13463,Ensi
13463,Isilandi
13527,Ensi
13527,Isilandi
14908,Ensi
14908,Isilandi
15035,Ensi
15035,Isilandi
15268,Ensi
15268,Isilandi
15376,Ensi
15376,Isilandi
15409,Ensi
15409,Isilandi
15475,Ensi
15475,Isilandi
15582,Ensi
15582,Isilandi
15600,Ensi
15600,Isilandi
23219,Ensi
23219,Isilandi
23222,Ensi
23222,Isilandi
26526,Ensi
26526,Isilandi
49727,Ensi
49727,Isilandi
3414,Geography infobox templates|Country
3414,Templates using ParserFunctions|{{PAGENAME}}
3417,Infobox templates
3418,Infobox templates
3420,Infobox templates
3421,Infobox templates
3424,Infobox templates
3425,Infobox templates
3429,Infobox templates
3430,Infobox templates
3431,Infobox templates
3432,Infobox templates
3433,Infobox templates
3434,Infobox templates
3464,Infobox templates
3478,Infobox templates
3479,Infobox templates
3482,Ensi|Ensi
3482,Infobox templates
3483,Infobox templates
4296,Infobox templates
4297,Infobox templates
4339,Infobox templates
5290,Infobox templates
5310,Infobox templates
5347,Infobox templates
23701,Infobox templates
3415,Esoteric templates|{{PAGENAME}}
3415,Template templates|{{PAGENAME}}
12704,Esoteric templates|{{PAGENAME}}
12704,Template templates|{{PAGENAME}}
15945,Esoteric templates|{{PAGENAME}}
15945,Template templates|{{PAGENAME}}
5300,Stub
5302,Stubs
5304,Stub
15546,Stub
15862,Stub
24430,Stub
46333,Stub
46334,Stub
46985,Stub
23282,Essomansi
23290,Ssemazinga‎
23292,Essomansi
3484,Stub
3484,Ensi
3486,Stub
3486,Ensi
3487,Stub
3487,Ensi
3488,Stub
3488,Ensi
3677,Stub
3677,Ensi
3689,Stub
3689,Ensi
3701,Stub
3701,Ensi
3712,Stub
3712,Ensi
3715,Stub
3715,Ensi
3720,Stub
3720,Ensi
3725,Stub
3725,Ensi
3728,Stub
3728,Ensi
3735,Stub
3735,Ensi
3738,Stub
3738,Ensi
3739,Stub
3739,Ensi
3743,Stub
3743,Ensi
3773,Stub
3773,Ensi
3779,Stub
3779,Ensi
3817,Stub
3817,Ensi
3850,Stub
3850,Ensi
3898,Stub
3898,Ensi
4200,Stub
4200,Ensi
4209,Stub
4209,Ensi
4211,Stub
4211,Ensi
4218,Stub
4218,Ensi
4220,Stub
4220,Ensi
4227,Stub
4227,Ensi
4247,Stub
4247,Ensi
4252,Stub
4252,Ensi
4255,Stub
4255,Ensi
4272,Stub
4272,Ensi
4337,Stub
4337,Ensi
4353,Stub
4353,Ensi
4389,Stub
4389,Ensi
4391,Stub
4391,Ensi
4400,Stub
4400,Ensi
